nom;profondeur;elo;temps
choisir_coup_aleatoire;None;697.0334036949489;0.0005230426788330079
choisir_coup_heuristique;None;977.3581724580033;0.2646435260772705
choisir_coup_heuristique_v1;None;707.9598274868778;3.1591174602508545
choisir_coup_minimax;1;802.1818007718692;0.25168747901916505
choisir_coup_minimax;2;1033.2756046339446;7.611723947525024
choisir_coup_minimax_ou_on_dejoue;1;989.4518620408809;1.2310651779174804
choisir_coup_IA_optimisee_ou_on_dejoue;1;1175.3788611465893;0.04708495140075684
choisir_coup_IA_optimisee_ou_on_dejoue;2;1027.2612940076735;1.0052854061126708
choisir_coup_IA_optimisee_parallele;1;1104.8198621802521;2.180602550506592
choisir_coup_IA_optimisee_parallele;2;1100.2450492498326;2.3596964359283445
choisir_coup_IA_optimisee_parallele;3;1420.9713146712663;9.235888290405274
choisir_coup_paranoid_alpha_beta;1;1002.6910626697083;0.02594146728515625
choisir_coup_paranoid_alpha_beta;2;954.4430046204025;0.32810449600219727
choisir_coup_paranoid_alpha_beta;3;1160.3518526308271;8.07229986190796
